Country;Year;Energy (MtCO2e);Industrial Processes (MtCO2e);Agriculture (MtCO2e);Waste (MtCO2e);Land-Use Change and Forestry (MtCO2);Bunker Fuels (MtCO2)
Albania;2002;39.094;0.021;30.133;0.5976;0.8842;0.13
Albania;2003;40.816;0.3124;30.505;0.6007;0.8972;0.14
Albania;2004;43.837;0.3106;29.356;0.6037;0.9022;0.15
Albania;2005;42.459;0.2722;29.213;0.6068;0.912;0.17
Albania;2006;41.491;0.2876;28.368;0.6101;-0.2319;0.14
Albania;2007;41.322;0.4716;27.235;0.6133;-0.0317;0.06
Albania;2008;40.654;0.487;25.809;0.6166;-0.2234;0.08
Albania;2009;39.386;0.583;24.984;0.6199;-0.2263;0.05
Albania;2010;41.817;0.679;2.481;0.6232;-0.2251;0.05
Albania;2011;44.281;0.6805;2.509;0.6268;-0.2052;0.06
Albania;2012;41.345;;2.535;0.6304;-0.1141;0.06
Algeria;1990;772.794;33.689;73.039;43.028;18.195;2.45
Algeria;1991;766.838;33.952;70.792;45.079;15.888;2.14
Algeria;1992;765.659;34.729;73.875;47.129;15.892;2.13
Algeria;1993;842.897;35.102;74.948;4.918;15.897;2.02
Algeria;1994;825.351;33.791;71.345;5.123;15.902;2.06
Algeria;1995;839.654;37.975;70.578;53.281;15.907;2.13
Algeria;1996;839.336;36.993;71.505;59.589;1.579;1.99
Algeria;1997;872.369;40.591;69.908;65.897;15.502;1.87
Algeria;1998;902.115;43.236;77.542;72.204;1.554;1.75
Algeria;1999;956.642;43.866;78.331;78.512;1.56;1.77
Algeria;2000;980.067;4.849;77.528;8.482;19.191;1.94
Algeria;2001;952.069;49.751;7.984;86.008;14.754;1.96
Algeria;2002;1.015.739;54.492;77.922;87.197;14.882;2.15
Algeria;2003;1.060.122;55.752;80.278;88.385;1.508;1.87
Algeria;2004;1.067.079;66.979;88.961;89.573;14.812;2.16
Algeria;2005;1.114.469;77.216;82.497;90.762;15.495;2.33
Algeria;2006;1.155.779;90.661;86.771;91.891;1.593;2.21
Algeria;2007;1.227.877;100.552;88.302;9.302;18.382;2.21
Algeria;2008;1.266.978;112.092;84.305;94.149;16.055;2.26
Algeria;2009;1.350.009;122.716;94.349;95.278;15.012;2.33
Algeria;2010;1.355.406;128.576;98.078;96.408;14.761;2.43
Algeria;2011;1.404.339;137.839;100.114;97.553;16.317;2.23
Algeria;2012;1.519.492;147.328;107.831;98.698;17.462;2.42
Angola;1990;252.162;0.1303;264.933;0.5152;526.736;1.05
Angola;1991;267.033;0.1308;265.696;0.5291;52.673;0.9
Angola;1992;27.783;0.1533;266.641;0.543;526.723;0.82
Angola;1993;296.734;0.1282;265.432;0.557;526.717;0.92
Angola;1994;307.736;0.1251;265.109;0.5709;526.711;1.33
Angola;1995;361.649;0.1036;264.375;0.5849;526.705;1.2
Angola;1996;375.013;0.1434;25.529;0.5968;566.022;1.04
Angola;1997;386.002;0.1613;251.747;0.6087;545.082;1.05
Angola;1998;392.921;0.1901;278.292;0.6206;598.753;0.67
Angola;1999;412.349;0.12;258.094;0.6325;579.835;1.18
Angola;2000;42.048;0.1195;265.787;0.6444;538.772;1.42
Angola;2001;464.547;0.3025;269.006;0.7057;469.912;1.53
Angola;2002;511.698;0.3316;26.588;0.7671;503.421;1.32
Angola;2003;594.118;0.39;298.838;0.8285;503.902;0.79
Angola;2004;640.856;0.4265;307.204;0.8899;53.055;1.29
Angola;2005;668.932;0.7121;307.179;0.9513;534.005;0.9
Angola;2006;764.626;0.7495;277.269;11.857;496.618;0.8
Angola;2007;866.607;0.7687;300.537;1.42;510.736;1.2
Angola;2008;956.661;0.9673;28.486;16.544;500.355;1.29
Angola;2009;1.053.223;0.9865;288.145;18.887;508.495;1.18
Angola;2010;1.147.011;0.8444;302.431;21.231;513.885;1.17
Angola;2011;1.164.801;0.8554;312.569;21.677;555.483;1.14
Angola;2012;1.188.437;;287.588;22.124;497.979;1.22
Antigua & Barbuda;1990;;0;0.0363;0.0852;-0.0189;
Antigua & Barbuda;1991;;0.0029;0.0362;0.0896;-0.0188;
Antigua & Barbuda;1992;;0.0059;0.0363;0.0941;-0.0186;
Antigua & Barbuda;1993;;0.0088;0.0367;0.0985;-0.0185;
Antigua & Barbuda;1994;;0.0118;0.0374;0.1029;-0.0183;
Antigua & Barbuda;1995;;0.0147;0.038;0.1074;-0.0182;
Antigua & Barbuda;1996;;0.0282;0.038;0.1119;-0.018;
Antigua & Barbuda;1997;;0.0416;0.0381;0.1164;-0.0179;
Antigua & Barbuda;1998;;0.0551;0.0379;0.1209;-0.0177;
Antigua & Barbuda;1999;;0.0685;0.0378;0.1254;-0.0176;
Antigua & Barbuda;2000;;0.0819;0.0373;0.1298;-0.0174;
Antigua & Barbuda;2001;;0.1035;0.0383;0.1319;-0.004;
Antigua & Barbuda;2002;;0.125;0.0388;0.1339;-0.0039;
Antigua & Barbuda;2003;;0.1465;0.0395;0.136;-0.0038;
Antigua & Barbuda;2004;;0.168;0.0398;0.138;-0.0036;
Antigua & Barbuda;2005;;0.1895;0.0396;0.1401;-0.0035;
Antigua & Barbuda;2006;;0.2153;0.0396;0.1419;0;
Antigua & Barbuda;2007;;0.2412;0.0407;0.1438;0;
Antigua & Barbuda;2008;;0.267;0.0415;0.1457;0;
Antigua & Barbuda;2009;;0.2929;0.0417;0.1476;0;
Antigua & Barbuda;2010;;0.3187;0.0249;0.1495;0;
Antigua & Barbuda;2011;;0.3447;0.0249;0.1514;0;
Antigua & Barbuda;2012;;;0.0249;0.1534;0;
Argentina;1990;1.142.173;36.067;1.065.919;93.898;791.378;2.22
Argentina;1991;1.201.478;33.029;1.052.886;96.552;676.947;1.5
Argentina;1992;1.221.744;39.299;1.069.261;99.206;684.341;1.52
Argentina;1993;1.238.304;40.292;1.052.564;10.186;691.736;1.2
Argentina;1994;1.321.806;41.468;1.069.139;104.515;69.913;2.12
Argentina;1995;1.362.802;35.353;1.060.572;107.169;706.524;3.29
Argentina;1996;1.460.278;34.512;1.043.967;113.761;709.231;3.8
Argentina;1997;149.104;44.003;1.033.446;120.352;721.433;4.36
Argentina;1998;1.529.383;45.947;1.006.041;126.944;728.402;4.29
Argentina;1999;1.563.803;47.231;1.030.529;133.536;747.306;4.28
Argentina;2000;1.565.196;42.726;1.052.629;140.127;731.015;4.31
Argentina;2001;1.465.455;42.144;1.092.745;141.513;709.099;4.14
Argentina;2002;1.398.066;36.286;1.090.654;142.898;721.593;3.69
Argentina;2003;1.501.904;45.084;118.433;144.283;735.256;3.73
Argentina;2004;1.653.821;52.526;1.169.945;145.669;751.608;3.83
Argentina;2005;1.682.764;6.147;1.167.432;147.054;738.068;4.33
Argentina;2006;1.780.935;70.647;1.197.616;148.677;646.645;3.91
Argentina;2007;1.849.832;76.562;1.223.744;15.03;648.757;4.51
Argentina;2008;1.960.103;79.619;1.191.819;151.923;687.599;4.66
Argentina;2009;1.886.538;80.552;1.107.121;153.545;667.036;4.69
Argentina;2010;1.932.963;88.299;1.059.274;155.168;658.082;5.6
Argentina;2011;2.007.002;96.718;1.021.374;156.736;665.165;6.44
Argentina;2012;2.057.339;9.695;1.067.335;158.304;67.032;7.53
Armenia;1990;222.612;0.2561;;0.6165;;0.59
Armenia;1991;230.803;0.2397;;0.6105;;0.66
Armenia;1992;122.094;0.2151;13.806;0.6044;0.0004;0.46
Armenia;1993;63.985;0.1173;1.237;0.5984;0.8424;0.2
Armenia;1994;40.276;0.0709;11.648;0.5923;0.8401;0.15
Armenia;1995;45.467;0.1344;11.513;0.5863;0.8378;0.1
Armenia;1996;3.436;0.1691;11.639;0.5811;0.8353;0.06
Armenia;1997;40.552;0.1856;11.454;0.5759;0.833;0.06
Armenia;1998;40.545;0.1983;1.089;0.5707;0.8327;0.06
Armenia;1999;35.638;0.2001;10.717;0.5655;0.8284;0.06
Armenia;2000;38.731;0.1762;10.884;0.5603;0.8258;0.19
Armenia;2001;39.438;0.2407;11.171;0.5516;0.8071;0.18
Armenia;2002;34.045;0.2906;1.227;0.5428;0.8047;0.16
Armenia;2003;37.952;0.3294;12.332;0.5341;0.8026;0.08
Armenia;2004;4.026;0.4123;13.254;0.5254;0.8004;0.12
Armenia;2005;47.067;0.4878;13.054;0.5167;0.7983;0.13
Armenia;2006;47.477;0.5227;13.432;0.5546;0.7974;0.12
Armenia;2007;53.988;0.5943;1.373;0.5925;0.7933;0.17
Armenia;2008;58.799;0.6439;13.866;0.6304;0.7914;0.17
Armenia;2009;4.881;0.5176;13.189;0.6682;0.7887;0.09
Armenia;2010;4.682;0.5489;12.764;0.7061;0.7867;0.13
Armenia;2011;53.282;0.5823;12.828;0.7069;0.7849;0.13
Armenia;2012;60.943;;13.609;0.7078;0.7819;0.14
Australia;1990;2.896.414;99.407;1.640.477;17.795;223.498;6.43
Australia;1991;2.911.288;9.177;1.624.224;175.923;156.475;6.4
Australia;1992;2.947.801;85.453;1.592.512;173.896;156.555;6.78
Australia;1993;298.825;83.056;1.570.981;171.868;156.635;7.34
Australia;1994;304.891;85.202;1.583.095;169.841;156.715;7.73
Australia;1995;3.152.515;82.366;155.88;167.814;156.796;8.54
Australia;1996;3.262.537;84.485;1.450.992;163.893;167.487;9.03
Australia;1997;3.342.607;8.884;143.64;159.971;192.777;9.04
Australia;1998;3.541.402;94.221;1.503.554;156.049;174.769;9.41
Australia;1999;361.17;100.554;180.265;152.128;187.087;9.74
Australia;2000;3.675.794;104.176;1.960.466;148.206;143.646;10.11
Australia;2001;3.741.959;111.578;195.973;145.613;509.213;10.52
Australia;2002;3.789.893;119.238;1.864.751;14.302;527.844;8.69
Australia;2003;3.863.427;128.875;1.248.624;140.428;594.623;8.7
Australia;2004;4.009.292;136.278;1.579.641;137.835;490.936;9.89
Australia;2005;4.048.091;146.062;1.258.936;135.242;487.984;10.82
Australia;2006;410.139;152.282;1.534.962;136.522;35.982;11.41
Australia;2007;4.211.328;156.889;1.443.016;137.802;316.297;11.78
Australia;2008;4.246.669;161.496;1.180.044;139.082;296.802;12.07
Australia;2009;4.319.668;164.125;1.247.501;140.362;349.275;12.04
Australia;2010;4.250.977;166.753;1.039.797;141.641;327.185;12.34
Australia;2011;4.266.864;173.559;1.899.431;143.268;348.376;12.16
Australia;2012;4.251.898;179.836;1.905.664;144.894;368.237;12.17
Austria;1990;576.356;50.355;88.234;35.562;-107.371;0.9
Austria;1991;617.735;50.421;86.793;34.592;-12.778;0.99
Austria;1992;568.913;49.974;85.109;33.623;-128.141;1.07
Austria;1993;572.291;49.014;84.592;32.653;-128.501;1.13
Austria;1994;574.469;47.944;81.594;31.683;-128.862;1.18
Austria;1995;606.547;42.515;80.239;30.714;-129.222;1.33
Austria;1996;64.424;42.669;79.701;29.586;-129.583;1.47
Austria;1997;636.933;42.567;78.299;28.459;-129.944;1.52
Austria;1998;641.626;42.575;77.709;27.332;-130.305;1.59
Austria;1999;626.218;42.399;76.419;26.205;-130.658;1.54
Austria;2000;629.311;42.224;74.563;25.078;-131.025;1.69
Austria;2001;671.074;41.234;73.326;2.463;-172.598;1.65
Austria;2002;686.538;4.072;75.416;24.183;-172.993;1.56
Austria;2003;738.701;39.437;82.147;23.735;-173.382;1.46
Austria;2004;750.064;40.682;68.511;23.287;-173.775;1.73
Austria;2005;759.828;40.608;67.825;2.284;-174.177;1.95
Austria;2006;738.082;4.279;66.927;21.988;4.601;2.04
Austria;2007;713.336;45.265;65.782;21.137;46.178;2.16
Austria;2008;721.389;46.494;66.898;20.285;46.335;2.16
Austria;2009;652.543;43.913;6.573;19.434;46.496;1.88
Austria;2010;706.697;42.687;67.106;18.583;46.658;2.03
Austria;2011;689.579;44.196;67.442;18.587;46.821;2.14
Austria;2012;66.016;44.882;6.593;18.591;46.982;2.06
Azerbaijan;1990;685.039;0.4945;;21.453;;1.03
Azerbaijan;1991;779.293;0.4611;;21.174;;0.83
Azerbaijan;1992;551.892;0.4351;4.872;20.894;0.0044;0.5
Azerbaijan;1993;634.815;0.3362;45.031;20.615;0.0044;0.58
Azerbaijan;1994;570.939;0.2704;4.219;20.335;0.0044;0.47
Azerbaijan;1995;538.895;0.1349;42.359;20.056;0.0044;0.3
Azerbaijan;1996;491.713;0.1472;4.236;20.175;0.0015;0.58
Azerbaijan;1997;485.232;0.1961;44.935;20.295;0.0019;0.57
Azerbaijan;1998;497.543;0.1387;46.402;20.414;0.0137;0.48
Azerbaijan;1999;477.626;0.129;48.238;20.533;0.002;0.43
Azerbaijan;2000;491.279;0.1413;49.244;20.652;0.0242;0.3
Azerbaijan;2001;483.693;0.3293;52.728;20.749;0.0053;0.54
Azerbaijan;2002;486.558;0.5174;54.848;20.846;0.0027;0.28
Azerbaijan;2003;450.195;0.6284;5.704;20.943;0.0005;0.58
Azerbaijan;2004;466.896;0.8604;59.308;2.104;0.0012;0.55
Azerbaijan;2005;497.951;0.9422;60.636;21.137;0.0011;1.1
Azerbaijan;2006;488.809;10.035;63.543;21.272;0.0022;1.23
Azerbaijan;2007;484.827;10.538;6.458;21.407;0.0004;1.33
Azerbaijan;2008;533.389;10.235;67.404;21.543;0.0046;1.49
Azerbaijan;2009;495.963;0.8869;6.871;21.678;0.0012;1.14
Azerbaijan;2010;507.787;0.9006;69.801;21.813;0.01;1.42
Azerbaijan;2011;544.674;10.143;71.014;2.199;0.0012;1.53
Azerbaijan;2012;588.583;10.447;72.368;22.167;0.001;1.4
The Bahamas;1990;;0;0.0245;0.1526;-12.187;
The Bahamas;1991;;0.0004;0.0238;0.1552;-12.187;
The Bahamas;1992;;0.0008;0.0245;0.1577;-12.187;
The Bahamas;1993;;0.0012;0.0236;0.1602;-12.187;
The Bahamas;1994;;0.0015;0.0222;0.1628;-12.187;
The Bahamas;1995;;0.0019;0.028;0.1653;-12.187;
The Bahamas;1996;;0.0037;0.0331;0.1679;-1.22;
The Bahamas;1997;;0.0055;0.0295;0.1705;-1.221;
The Bahamas;1998;;0.0073;0.0396;0.1731;-12.108;
The Bahamas;1999;;0.0092;0.0335;0.1756;-12.118;
The Bahamas;2000;;0.011;0.0266;0.1782;-11.869;
The Bahamas;2001;;0.0139;0.0244;0.1807;-0.7132;
The Bahamas;2002;;0.0168;0.0216;0.1832;-0.7166;
The Bahamas;2003;;0.0197;0.0207;0.1856;-0.7523;
The Bahamas;2004;;0.0226;0.0391;0.1881;-0.602;
The Bahamas;2005;;0.0256;0.0273;0.1906;-0.6598;
The Bahamas;2006;;0.0299;0.0262;0.1931;0.0559;
The Bahamas;2007;;0.0343;0.0271;0.1956;0.0502;
The Bahamas;2008;;0.0386;0.0357;0.1981;0.1869;
The Bahamas;2009;;0.043;0.0266;0.2006;0.0745;
The Bahamas;2010;;0.0474;0.0226;0.2031;0.0287;
The Bahamas;2011;;0.0519;0.0374;0.2054;0.1893;
The Bahamas;2012;;;0.0238;0.2077;0.0489;
Bahrain;1990;129.449;0.2179;0.0337;20.907;-0.0001;1.68
Bahrain;1991;124.864;0.2257;0.0328;21.511;-0.0001;1.3
Bahrain;1992;144.479;0.2703;0.0334;22.115;-0.0135;1.22
Bahrain;1993;153.694;0.2818;0.0322;22.718;-0.0002;1.2
Bahrain;1994;157.009;0.2897;0.0313;23.322;-0.0002;1.34
Bahrain;1995;159.524;0.2829;0.0294;23.926;-0.0002;1.4
Bahrain;1996;165.048;0.2765;0.0315;24.442;-0.0002;1.32
Bahrain;1997;169.772;0.2629;0.0318;24.958;-0.0002;1.01
Bahrain;1998;178.696;0.2896;0.0344;25.473;-0.0002;1.34
Bahrain;1999;18.082;0.2503;0.032;25.989;-0.014;1.3
Bahrain;2000;184.844;0.2146;0.0308;26.505;-0.0002;1.37
Bahrain;2001;190.687;0.221;0.0294;2.696;-0.0002;1.43
Bahrain;2002;199.029;0.2163;0.1522;27.415;-0.0002;1.55
Bahrain;2003;205.772;0.2556;0.0332;2.787;-0.0002;1.71
Bahrain;2004;204.915;0.3938;0.0312;28.326;-0.0002;1.86
Bahrain;2005;232.758;0.4001;0.0585;28.781;-0.0144;1.96
Bahrain;2006;252.275;0.4016;0.1199;2.919;0.0053;2.1
Bahrain;2007;255.991;0.4031;0.0377;29.599;-0.0032;2.09
Bahrain;2008;276.508;0.4266;0.0416;30.007;-0.0018;2.34
Bahrain;2009;278.825;0.5563;0.0355;30.416;-0.0033;2.34
Bahrain;2010;290.242;0.5578;0.0471;30.825;-0.0033;2.22
Bahrain;2011;290.539;0.6229;0.0342;31.204;-0.0019;2.07
Bahrain;2012;298.235;;0.0351;31.583;-0.0034;1.99
Bangladesh;1990;157.597;0.1793;587.408;124.382;323.763;0.33
Bangladesh;1991;149.444;0.1475;593.513;127.216;31.714;0.32
Bangladesh;1992;161.891;0.1486;598.914;130.049;317.146;0.28
Bangladesh;1993;174.738;0.1498;600.755;132.883;317.152;0.32
Bangladesh;1994;186.386;0.1546;611.571;135.716;317.157;0.36
Bangladesh;1995;225.733;0.1558;629.368;13.855;317.163;0.41
Bangladesh;1996;229.188;0.3457;630.488;141.555;317.182;0.43
Bangladesh;1997;247.143;0.5356;628.392;14.456;317.164;0.46
Bangladesh;1998;259.299;0.6558;623.333;147.565;317.105;0.57
Bangladesh;1999;258.754;10.839;650.424;15.057;317.511;0.59
Bangladesh;2000;275.009;18.344;655.339;153.575;316.924;0.52
Bangladesh;2001;315.485;2.567;657.737;156.187;321.035;0.77
Bangladesh;2002;32.686;25.851;670.077;15.88;319.843;0.8
Bangladesh;2003;346.936;2.607;667.071;161.412;320.138;0.89
Bangladesh;2004;354.211;26.288;660.771;164.025;320.549;0.9
Bangladesh;2005;377.787;27.019;677.332;166.638;320.185;0.98
Bangladesh;2006;408.723;27.641;692.366;168.899;314.593;0.95
Bangladesh;2007;433.158;28.264;696.452;171.161;314.563;0.92
Bangladesh;2008;462.994;28.373;73.582;173.423;313.398;1.09
Bangladesh;2009;49.433;28.996;735.193;175.684;314.328;1.03
Bangladesh;2010;552.966;29.618;747.915;177.946;313.671;1.16
Bangladesh;2011;583.351;30.388;761.225;180.368;313.134;1.32
Bangladesh;2012;623.736;31.157;747.512;182.789;313.465;1.26
Barbados;1990;;0.0989;0.0797;16.442;-0.0212;
Barbados;1991;;0.0992;0.0795;16.708;-0.0212;
Barbados;1992;;0.0884;0.0802;16.974;-0.0212;
Barbados;1993;;0.03;0.0753;1.724;-0.0212;
Barbados;1994;;0.0413;0.0752;17.506;-0.0212;
Barbados;1995;;0.0378;0.0781;17.772;-0.0212;
Barbados;1996;;0.0574;0.0778;17.848;-0.0212;
Barbados;1997;;0.0916;0.0733;17.924;-0.0212;
Barbados;1998;;0.1331;0.07;1.8;-0.0212;
Barbados;1999;;0.1307;0.0659;18.076;-0.0212;
Barbados;2000;;0.1392;0.0619;18.152;-0.0212;
Barbados;2001;;0.1339;0.0584;18.236;-0.0123;
Barbados;2002;;0.1615;0.047;18.321;-0.0123;
Barbados;2003;;0.1746;0.0455;18.405;-0.0123;
Barbados;2004;;0.1766;0.0561;18.489;-0.0123;
Barbados;2005;;0.1859;0.0432;18.574;-0.0123;
Barbados;2006;;0.1883;0.039;18.648;0;
Barbados;2007;;0.1688;0.036;18.723;0;
Barbados;2008;;0.1822;0.04;18.797;0;
Barbados;2009;;0.1773;0.0349;18.872;0;
Barbados;2010;;0.1797;0.0357;18.946;0;
Barbados;2011;;0.1828;0.0378;19.012;0;
Barbados;2012;;;0.0408;19.077;0;
Belarus;1990;1.268.158;17.778;;3.286;;0
Belarus;1991;1.217.758;16.544;;31.987;;0
Belarus;1992;1.011.057;12.444;238.022;31.113;25.13;0
Belarus;1993;850.357;1.042;229.051;3.024;-91.318;0
Belarus;1994;722.956;0.8359;218.417;29.366;-94.445;0
Belarus;1995;633.756;0.7104;211.669;28.493;-97.573;0
Belarus;1996;647.355;0.8415;205.719;30.104;-101.171;0
Belarus;1997;638.654;10.569;202.891;31.716;-104.661;0
Belarus;1998;613.853;11.513;200.529;33.328;-107.609;0
Belarus;1999;597.953;11.982;197.382;3.494;-109.677;0
Belarus;2000;603.952;10.838;190.166;36.552;-113.551;0
Belarus;2001;596.209;10.781;188.162;3.985;-176.009;0
Belarus;2002;609.865;12.775;182.107;43.148;-147.246;0
Belarus;2003;625.121;1.444;183.283;46.446;-180.632;0
Belarus;2004;648.178;15.886;184.039;49.744;-18.439;0
Belarus;2005;638.234;18.063;187.823;53.042;-186.825;0
Belarus;2006;678.178;20.043;192.906;56.138;-255.734;0
Belarus;2007;656.121;21.876;191.246;59.235;-261.364;0
Belarus;2008;659.265;24.038;196.628;62.331;-264.986;0
Belarus;2009;636.509;24.882;200.529;65.427;-268.403;0
Belarus;2010;667.052;25.945;19.932;68.523;-271.496;0
Belarus;2011;678.051;27.004;20.554;68.275;-276.342;0
Belarus;2012;73.325;27.219;205.178;68.027;-280.183;0
Belgium;1990;1.098.798;7.646;;31.507;;15.73
Belgium;1991;1.152.095;79.938;;31.043;;15.94
Belgium;1992;1.141.091;86.566;;30.579;;15.87
Belgium;1993;1.115.887;86.453;;30.115;;15.93
Belgium;1994;1.172.583;92.642;;2.965;;15.34
Belgium;1995;1.169.379;93.885;;29.186;;14.92
Belgium;1996;1.229.884;93.086;;27.712;;17.12
Belgium;1997;1.202.288;95.035;;26.238;;19.84
Belgium;1998;1.226.792;90.792;;24.764;;21.66
Belgium;1999;1.191.296;93.181;;2.329;;18.26
Belgium;2000;120.58;93.518;90.956;21.816;0.254;21.39
Belgium;2001;1.216.269;92.213;89.809;19.996;-14.038;19.94
Belgium;2002;1.142.138;89.993;98.151;18.175;-1.408;25.39
Belgium;2003;1.218.507;86.527;94.229;16.354;-14.121;26.29
Belgium;2004;1.177.076;85.992;93.854;14.534;-14.162;28.66
Belgium;2005;1.147.945;89.048;93.066;12.713;-14.204;28.2
Belgium;2006;1.120.447;91.143;91.487;11.975;-0.6814;29.89
Belgium;2007;1.077.449;9.716;89.918;11.238;-0.6832;32.54
Belgium;2008;1.134.352;79.617;91.966;1.05;-0.685;36.54
Belgium;2009;1.027.754;94.573;9.035;0.9763;-0.6868;28.06
Belgium;2010;1.117.556;90.294;90.539;0.9025;-0.6886;28.85
Belgium;2011;112.615;91.492;90.091;0.903;-0.6808;25.95
Belgium;2012;1.067.244;9.28;88.927;0.9035;-0.6922;23.32
Belize;1990;;0;0.2115;4.924;51.219;
Belize;1991;;0.0002;0.2053;50.597;51.165;
Belize;1992;;0.0004;0.2267;51.954;51.161;
Belize;1993;;0.0006;0.2088;53.311;51.158;
Belize;1994;;0.0009;0.2082;54.668;51.154;
Belize;1995;;0.0011;0.1795;56.025;51.151;
Belize;1996;;0.003;0.1817;57.616;51.209;
Belize;1997;;0.0048;0.1896;59.207;50.724;
Belize;1998;;0.0067;0.2022;60.798;51.684;
Belize;1999;;0.0086;0.214;62.389;51.118;
Belize;2000;;0.0105;0.2075;6.398;51.405;
Belize;2001;;0.014;0.2096;65.698;50.289;
Belize;2002;;0.0176;0.2732;67.415;49.928;
Belize;2003;;0.0211;0.3432;69.132;53.049;
Belize;2004;;0.0246;0.2134;7.085;50.107;
Belize;2005;;0.0281;0.2306;72.567;52.268;
Belize;2006;;0.0324;0.2302;74.282;50.502;
Belize;2007;;0.0367;0.2504;75.997;52.791;
Belize;2008;;0.041;0.2518;77.711;51.885;
Belize;2009;;0.0452;0.295;79.426;50.473;
Belize;2010;;0.0495;0.2705;81.141;50.081;
Belize;2011;;0.0542;0.2833;82.835;51.938;
Belize;2012;;;0.2799;8.453;49.962;
Benin;1990;11.871;0.1502;34.752;0.2339;153.222;0.05
Benin;1991;11.253;0.1615;35.072;0.2433;152.477;0.05
Benin;1992;11.236;0.1838;3.551;0.2527;152.476;0.04
Benin;1993;11.118;0.2537;35.711;0.262;152.475;0.06
Benin;1994;11.001;0.232;37.944;0.2714;152.474;0.06
Benin;1995;10.983;0.291;3.601;0.2807;152.473;0.07
Benin;1996;17.623;0.1825;3.734;0.2495;153.424;0.07
Benin;1997;20.162;0.1033;3.92;0.2183;152.485;0.05
Benin;1998;20.601;0.1047;41.431;0.1871;159.547;0.09
Benin;1999;2.184;0.1061;40.117;0.1559;158.345;0.09
Benin;2000;2.258;0.1332;44.372;0.1247;154.496;0.07
Benin;2001;2.613;0.1357;41.924;0.1291;107.647;0.06
Benin;2002;2.938;0.1382;49.318;0.1335;11.003;0.06
Benin;2003;3.233;0.1408;44.409;0.1378;108.966;0.11
Benin;2004;3.448;0.1433;42.536;0.1422;109.128;0.08
Benin;2005;3.733;0.1458;52.302;0.1466;109.852;0.03
Benin;2006;43.067;0.7679;45.469;0.1514;109.341;0.07
Benin;2007;48.705;0.8;47.245;0.1562;108.589;0.08
Benin;2008;49.443;0.7772;45.248;0.161;109.079;0.13
Benin;2009;53.181;0.78;46.256;0.1658;108.153;0.27
Benin;2010;56.918;0.7462;45.165;0.1707;108.274;0.47
Benin;2011;59.083;0.4393;45.709;0.1759;108.366;0.49
Benin;2012;61.647;;46.234;0.1811;107.314;0.51
Bhutan;1990;;0.0001;0.5538;0.0458;-23.395;
Bhutan;1991;;0.0587;0.5439;0.045;-61.302;
Bhutan;1992;;0.0588;0.514;0.0443;-61.466;
Bhutan;1993;;0.0551;0.5171;0.0436;-61.631;
Bhutan;1994;;0.0588;0.5234;0.0429;-61.796;
Bhutan;1995;;0.0698;0.5723;0.0422;-61.961;
Bhutan;1996;;0.0808;0.5577;0.0427;-62.179;
Bhutan;1997;;0.0809;0.559;0.0433;-62.347;
Bhutan;1998;;0.0736;0.5607;0.0439;-62.372;
Bhutan;1999;;0.0736;0.5824;0.0445;-62.328;
