Country;Year;Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e)
Rep. Congo;2003;1.375.798;1.396.715.362;0.813283765
Rep. Congo;2004;1.382.849;1.487.504.697;0.790998364
Rep. Congo;2005;15.825.386;1.635.154.032;0.921972963
Rep. Congo;2006;13.881.796;1.798.211.925;101.513.261
Rep. Congo;2007;13.651.216;1.505.449.819;0.816772257
Rep. Congo;2008;13.994.676;1.644.567.713;0.866711904
Rep. Congo;2009;1.389.605;1.528.375.607;0.860501552
Rep. Congo;2010;13.508.634;17.113.435;0.943971199
Rep. Congo;2011;13.639.196;1.987.953.291;107.891.809
Rep. Congo;2012;1.411.661;2.295.893.082;1.295.924.981
Cook Islands;1990;0.023074;;
Cook Islands;1991;0.003024;;
Cook Islands;1992;0.023084;;
Cook Islands;1993;0.003044;;
Cook Islands;1994;0.023084;;
Cook Islands;1995;0.003064;;
Cook Islands;1996;0.003074;;
Cook Islands;1997;0.023104;;
Cook Islands;1998;0.003104;;
Cook Islands;1999;0.030442;;
Cook Islands;2000;0.010452;;
Cook Islands;2001;0.034116;;
Cook Islands;2002;0.030452;;
Cook Islands;2003;0.034116;;
Cook Islands;2004;0.0561;;
Cook Islands;2005;0.063428;;
Cook Islands;2006;0.061402;;
Cook Islands;2007;0.061402;;
Cook Islands;2008;0.065066;;
Cook Islands;2009;0.065066;;
Cook Islands;2010;0.065066;;
Cook Islands;2011;0.065066;;
Cook Islands;2012;0.14578;;
Costa Rica;1990;9.051.486;3.541.688.066;1.855.182.604
Costa Rica;1991;923.473;3.567.625.079;1.891.685.393
Costa Rica;1992;1.031.767;3.575.252.092;1.890.688.182
Costa Rica;1993;10.361.218;3.619.769.105;1.857.910.971
Costa Rica;1994;11.024.462;3.405.306.119;1.817.533.759
Costa Rica;1995;10.990.762;3.162.353.132;1.702.356.548
Costa Rica;1996;10.705.382;3.168.509.436;1.796.326.486
Costa Rica;1997;10.682.232;319.109.574;1.851.296.423
Costa Rica;1998;11.219.172;3.289.252.044;190.238.636
Costa Rica;1999;1.124.044;3.233.758.348;1.690.046.298
Costa Rica;2000;11.147.542;3.225.614.652;1.584.916.235
Costa Rica;2001;-2.207.918;319.808.636;147.799.462
Costa Rica;2002;-2.102.108;3.137.088.068;1.351.463.005
Costa Rica;2003;-1.828.564;3.099.889.775;151.839.139
Costa Rica;2004;-1.529.964;3.069.471.483;1.479.329.775
Costa Rica;2005;-0.998582;3.174.493.191;169.713.816
Costa Rica;2006;-102.383;3.155.461.624;1.584.756.176
Costa Rica;2007;0.114602;3.332.290.057;1.636.844.192
Costa Rica;2008;0.21036;346.206.849;1.691.012.207
Costa Rica;2009;-0.594254;3.539.636.923;1.747.610.223
Costa Rica;2010;-0.460254;3.625.085.356;1.677.928.239
Costa Rica;2011;-0.150228;3.660.589.356;1.860.601.622
Costa Rica;2012;-0.87686;3.634.763.355;1.850.035.005
Cote d'Ivoire;1990;3.932.792;1.672.421.104;3.992.319.592
Cote d'Ivoire;1991;-2.874.808;172.232.264;4.021.817.288
Cote d'Ivoire;1992;-2.882.814;1.770.248.177;4.046.194.983
Cote d'Ivoire;1993;-2.708.148;1.806.163.713;4.107.752.678
Cote d'Ivoire;1994;-227.937;1.859.826.249;4.151.540.374
Cote d'Ivoire;1995;-2.162.336;1.907.304.785;4.171.808.069
Cote d'Ivoire;1996;-1.544.366;1.794.335.726;3.883.543.559
Cote d'Ivoire;1997;-0.58485;1.716.021.666;3.861.429.049
Cote d'Ivoire;1998;-0.768858;1.645.239.606;3.758.854.539
Cote d'Ivoire;1999;1.066.512;1.547.999.547;3.444.690.029
Cote d'Ivoire;2000;0.704972;1.450.246.487;3.257.075.518
Cote d'Ivoire;2001;-2.655.378;1.478.193.207;309.617.465
Cote d'Ivoire;2002;-2.538.348;1.547.774.927;3.448.843.782
Cote d'Ivoire;2003;-3.751.198;1.585.971.648;3.210.702.913
Cote d'Ivoire;2004;-3.494.178;1.585.750.368;2.709.352.045
Cote d'Ivoire;2005;-3.108.978;1.695.687.088;3.312.761.177
Cote d'Ivoire;2006;11.232.026;1.730.791.355;3.202.648.477
Cote d'Ivoire;2007;11.207.286;1.766.617.623;3.149.845.778
Cote d'Ivoire;2008;11.957.246;180.512.289;3.142.663.079
Cote d'Ivoire;2009;11.480.692;1.831.319.157;302.362.038
Cote d'Ivoire;2010;11.780.352;1.859.951.425;2.926.637.681
Cote d'Ivoire;2011;11.421.974;1.894.025.232;2.961.190.464
Cote d'Ivoire;2012;1.326.086;1.924.741.039;2.978.693.248
Croatia;1990;;;
Croatia;1991;;;
Croatia;1992;1.605.114;3.572.117.513;2.566.510.248
Croatia;1993;5.085.526;3.507.391.293;2.286.389.084
Croatia;1994;4.460.506;3.411.945.072;224.469.792
Croatia;1995;5.080.068;3.328.718.852;2.194.456.756
Croatia;1996;4.900.434;3.222.741.303;2.227.300.674
Croatia;1997;667.504;3.184.233.755;2.582.154.592
Croatia;1998;7.830.718;3.170.556.206;2.244.588.509
Croatia;1999;7.929.126;3.118.428.658;2.249.932.427
Croatia;2000;7.330.672;3.065.611.109;2.370.776.345
Croatia;2001;8.613.014;3.132.871.275;2.297.068.529
Croatia;2002;9.670.876;3.167.461.442;2.509.440.713
Croatia;2003;11.153.638;3.271.631.608;2.417.142.897
Croatia;2004;10.660.882;3.385.101.774;2.626.925.081
Croatia;2005;10.787.912;342.548.194;2.457.357.265
Croatia;2006;11.031.076;3.437.237.258;2.890.289.929
Croatia;2007;12.289.982;3.410.002.576;2.974.432.594
Croatia;2008;1.119.245;3.337.447.894;3.305.705.259
Croatia;2009;9.546.804;3.333.063.213;2.183.707.923
Croatia;2010;8.673.258;3.265.128.531;2.288.200.588
Croatia;2011;8.416.098;3.262.370.084;2.489.143.675
Croatia;2012;545.607;3.242.271.638;2.350.026.763
Cuba;1990;20.936.722;1.070.413.707;6.818.916.885
Cuba;1991;5.638.348;1.054.074.009;6.337.953.362
Cuba;1992;-0.217332;1.057.084.312;590.324.984
Cuba;1993;-2.845.668;9.905.536.145;5.101.526.318
Cuba;1994;-1.855.432;1.031.073.917;4.620.152.796
Cuba;1995;-0.89544;9.937.402.199;4.331.579.273
Cuba;1996;0.523032;1.057.419.207;4.307.417.647
Cuba;1997;2.426.478;1.068.988.195;442.857.602
Cuba;1998;1.454.922;1.087.196.182;4.336.734.394
Cuba;1999;1.797.352;107.518.217;4.128.032.767
Cuba;2000;1.646.208;1.089.218.157;4.108.131.141
Cuba;2001;485.483;1.066.586.991;4.193.668.303
Cuba;2002;332.486;1.072.829.824;3.882.145.465
Cuba;2003;2.385.882;1.086.617.657;3.642.422.627
Cuba;2004;1.765.224;1.052.849.491;367.940.979
Cuba;2005;2.245.852;1.010.232.324;3.479.986.952
Cuba;2006;16.493.168;1.025.005.471;364.802.399
Cuba;2007;173.137;1.023.619.617;3.720.761.027
Cuba;2008;15.858.978;1.037.937.763;3.778.868.065
Cuba;2009;23.241.584;109.129.691;3.685.965.103
Cuba;2010;20.542.462;1.069.120.056;3.723.132.141
Cuba;2011;19.157.172;1.098.092.412;3.956.056.811
Cuba;2012;1.860.133;1.089.697.768;3.933.531.482
Cyprus;1990;4.419.206;0.363355627;0.205348726
Cyprus;1991;4.907.636;0.372572347;0.202140309
Cyprus;1992;5.218.156;0.380419067;0.235501893
Cyprus;1993;5.396.102;0.389115787;0.230723477
Cyprus;1994;5.587.722;0.401932507;0.232705061
Cyprus;1995;5.472.996;0.409539227;0.223316645
Cyprus;1996;5.761.934;0.421937658;0.232193266
Cyprus;1997;5.837.906;0.432186089;0.210049888
Cyprus;1998;6.324.396;0.43615452;0.217656509
Cyprus;1999;6.558.688;0.435962951;0.22080313
Cyprus;2000;689.953;0.442621383;0.198209751
Cyprus;2001;6.728.514;0.450606832;0.207470288
Cyprus;2002;6.914.864;0.470642282;0.223610824
Cyprus;2003;7.684.112;0.490257732;0.239941361
Cyprus;2004;759.888;0.486463182;0.217221897
Cyprus;2005;777.355;0.490018632;0.205342434
Cyprus;2006;7.836.992;0.483156517;0.190803262
Cyprus;2007;818.149;0.492984403;0.192004089
Cyprus;2008;8.351.782;0.496862288;0.174244917
Cyprus;2009;8.062.844;0.500000173;0.188345745
Cyprus;2010;7.750.114;0.513918058;0.204436573
Cyprus;2011;753.237;0.522073991;0.199092715
Cyprus;2012;634.678;0.523469925;0.216978857
Czech Republic;1990;;;
Czech Republic;1991;;;
Czech Republic;1992;;;
Czech Republic;1993;130.846.062;1.594.707.396;5.820.337.572
Czech Republic;1994;112.173.944;1.477.126.299;582.199.858
Czech Republic;1995;114.748.194;1.399.956.202;5.669.119.589
Czech Republic;1996;116.765.848;1.371.733.187;5.895.941.702
Czech Republic;1997;114.358.642;1.327.500.172;5.648.373.814
Czech Republic;1998;107.205.484;1.288.593.158;5.547.835.926
Czech Republic;1999;101.078.358;1.257.611.143;5.517.238.039
Czech Republic;2000;111.777.438;1.217.467.128;5.746.060.151
Czech Republic;2001;111.820.062;1.213.063.753;6.145.506.303
Czech Republic;2002;107.797.882;1.198.575.377;5.322.752.454
Czech Republic;2003;111.559.744;1.185.355.002;5.432.738.606
Czech Republic;2004;112.767.304;1.171.197.627;5.573.544.758
Czech Republic;2005;109.903.084;1.159.403.252;5.564.980.909
Czech Republic;2006;111.062.498;1.153.105.692;5.486.739.115
Czech Republic;2007;113.122.354;1.152.698.133;5.571.357.321
Czech Republic;2008;108.103.824;1.142.104.573;5.418.725.527
Czech Republic;2009;10.030.298;1.131.485.014;5.291.103.733
Czech Republic;2010;10.421.918;1.118.956.454;5.225.581.939
Czech Republic;2011;102.974.414;1.118.467.766;5.337.012.127
Czech Republic;2012;9.785.771.994;1.115.444.078;5.145.162.314
Denmark;1990;52.922.824;7.290.455.879;7.166.142.446
Denmark;1991;62.619.126;7.379.548.625;6.987.258.535
Denmark;1992;56.921.478;7.430.881.372;6.611.534.623
Denmark;1993;59.312.096;7.591.464.118;6.662.010.711
Denmark;1994;6.326.082;7.546.326.864;65.087.768
Denmark;1995;60.202.524;759.429.961;6.426.262.888
Denmark;1996;73.427.352;7.594.637.651;6.423.982.756
Denmark;1997;6.397.422;7.561.125.692;6.421.962.625
Denmark;1998;59.885.086;7.616.903.733;6.320.732.494
Denmark;1999;56.909.118;7.397.231.774;6.127.932.362
Denmark;2000;52.698.482;7.435.869.814;6.113.662.231
Denmark;2001;47.803.402;7.571.618.507;5.827.824.417
Denmark;2002;47.693.954;74.317.472;5.203.586.604
Denmark;2003;52.705.884;7.342.745.893;5.372.098.791
Denmark;2004;47.066.358;7.233.764.586;4.901.770.978
Denmark;2005;43.378.312;7.130.723.279;4.688.053.165
Denmark;2006;59.226.976;7.024.874.587;4.691.642.879
Denmark;2007;5.446.815;7.125.775.895;4.725.542.593
Denmark;2008;5.132.723;6.989.717.203;4.884.472.307
Denmark;2009;4.903.211;689.840.851;4.735.132.022
Denmark;2010;49.784.808;7.104.689.818;4.674.701.736
Denmark;2011;4.432.433;7.055.434.382;4.679.966.498
Denmark;2012;393.834.772;7.052.248.946;466.366.126
Djibouti;1990;0.377392;0.369193497;0.201835323
Djibouti;1991;0.381056;0.372758047;0.203382306
Djibouti;1992;0.392048;0.376142597;0.204179288
Djibouti;1993;0.406704;0.384217147;0.208286271
Djibouti;1994;0.40304;0.396331698;0.215243253
Djibouti;1995;0.399376;0.420896248;0.230730236
Djibouti;1996;0.406704;0.439170097;0.240961911
Djibouti;1997;0.3664;0.444903946;0.243073586
Djibouti;1998;0.392048;0.455427796;0.248035262
Djibouti;1999;0.42136;0.474041645;0.257906937
Djibouti;2000;0.362736;0.477465495;0.257968613
Djibouti;2001;0.326096;0.476195891;0.257333001
Djibouti;2002;0.406704;0.475686287;0.257117389
Djibouti;2003;0.428688;0.478246684;0.258171778
Djibouti;2004;0.410368;0.48277708;0.260466166
Djibouti;2005;0.42136;0.483287477;0.261010555
Djibouti;2006;0.417696;0.479030999;0.258160024
Djibouti;2007;0.461664;0.480964522;0.258209493
Djibouti;2008;0.498304;0.483698044;0.258728962
Djibouti;2009;0.461664;0.487251567;0.259398431
Djibouti;2010;0.516624;0.48934509;0.2595379
Djibouti;2011;0.472656;0.490646415;0.258977553
Djibouti;2012;179.628;0.496567741;0.261247207
Dominica;1990;0.005914;0.0862532;0.028324122
Dominica;1991;0.004964;0.086058963;0.029487568
Dominica;1992;-0.018046;0.086404725;0.027061013
Dominica;1993;0.011408;0.086510488;0.027114458
Dominica;1994;0.020256;0.08670625;0.025927904
Dominica;1995;0.007478;0.087082013;0.021281349
Dominica;1996;0.0267;0.087031249;0.020350519
Dominica;1997;0.035548;0.087010485;0.020829688
Dominica;1998;0.007354;0.08694972;0.020848858
Dominica;1999;0.038328;0.086898956;0.020868028
Dominica;2000;0.061832;0.086858192;0.020897197
Dominica;2001;0.097594;0.087115586;0.020878674
Dominica;2002;0.114032;0.087292981;0.015460151
Dominica;2003;0.125904;0.087550375;0.016031627
Dominica;2004;0.09599;0.08751777;0.016603104
Dominica;2005;0.127514;0.087395164;0.01690458
Dominica;2006;0.19176;0.088139375;0.015476344
Dominica;2007;0.204784;0.088433585;0.018478108
Dominica;2008;0.21008;0.088607796;0.015819872
Dominica;2009;0.2019;0.088932007;0.015351636
Dominica;2010;0.209228;0.089056217;0.0152934
Dominica;2011;0.198236;0.089498944;0.015715435
Dominica;2012;0.21117;0.090031671;0.015877471
Dominican Republic;1990;11.258.526;5.269.201.139;204.081.285
Dominican Republic;1991;8.275.552;5.669.046.614;2.190.888.773
Dominican Republic;1992;9.681.504;5.986.652.089;2.158.244.696
Dominican Republic;1993;9.563.872;6.110.707.564;2.173.220.618
Dominican Republic;1994;11.177.536;6.329.873.039;2.224.466.541
Dominican Republic;1995;11.905.472;6.555.388.515;2.252.462.463
Dominican Republic;1996;12.787.072;6.581.658.306;2.388.087.435
Dominican Republic;1997;14.566;6.482.318.098;2.493.472.408
Dominican Republic;1998;15.317.984;6.451.987.889;249.723.738
Dominican Republic;1999;1.613.584;5.938.387.681;2.309.252.352
Dominican Republic;2000;17.389.424;5.618.067.473;2.279.467.324
Dominican Republic;2001;17.206.672;5.900.089.601;2.434.364.813
Dominican Republic;2002;1.906.056;606.348.173;2.749.842.303
Dominican Republic;2003;1.790.728;5.989.783.859;2.657.969.792
Dominican Republic;2004;16.702.704;6.406.685.987;2.886.227.282
Dominican Republic;2005;18.714.992;6.347.098.116;2.958.654.771
Dominican Republic;2006;20.253.296;6.313.008.591;3.096.586.992
Dominican Republic;2007;20.294.512;6.891.319.066;3.301.509.214
Dominican Republic;2008;20.423.216;7.058.669.541;3.280.631.435
Dominican Republic;2009;19.644.912;7.298.040.015;3.368.843.656
Dominican Republic;2010;20.424.912;746.803.049;3.521.325.877
Dominican Republic;2011;20.654.912;7.500.122.052;34.418.054
Dominican Republic;2012;19.81;7.523.463.614;3.535.724.922
Ecuador;1990;95.200.324;964.289.456;3.806.905.968
Ecuador;1991;95.904.052;9.978.943.711;398.118.293
Ecuador;1992;97.130.934;1.036.768.286;4.105.179.891
Ecuador;1993;9.630.312;1.080.234.201;4.244.056.853
Ecuador;1994;97.441.006;1.114.985.117;4.354.383.814
Ecuador;1995;100.376.364;1.134.300.032;4.441.840.776
Ecuador;1996;104.376.748;1.154.435.045;4.654.914.594
Ecuador;1997;105.085.286;1.135.381.058;4.924.078.413
Ecuador;1998;106.793.626;1.136.885.072;4.880.712.231
Ecuador;1999;101.318.312;1.157.546.085;4.524.266.049
Ecuador;2000;103.342.374;1.078.255.098;4.377.589.867
Ecuador;2001;106.323.838;1.117.946.409;552.834.873
Ecuador;2002;107.001.052;114.624.972;4.808.637.593
Ecuador;2003;107.147.078;1.143.045.031;4.710.776.455
Ecuador;2004;109.047.188;1.193.284.342;4.891.015.318
Ecuador;2005;111.191.008;1.166.050.653;469.979.418
Ecuador;2006;112.872.876;1.170.466.034;4.909.263.026
Ecuador;2007;113.102.654;1.148.322.416;4.608.311.872
Ecuador;2008;114.953.488;1.151.970.797;5.014.250.717
Ecuador;2009;116.388.136;1.211.560.178;5.063.159.563
Ecuador;2010;118.662.792;1.233.538.559;5.421.598.408
Ecuador;2011;118.824.064;1.219.261.547;5.612.656.144
Ecuador;2012;1.200.562.018;1.225.909.536;5.390.673.879
Egypt;1990;88.692.752;2.044.078.368;1.209.535.957
Egypt;1991;90.986.926;2.215.077.637;1.228.087.431
Egypt;1992;94.108.078;2.381.039.907;1.188.028.905
Egypt;1993;94.072.414;2.522.294.176;1.237.646.379
Egypt;1994;8.861.176;2.621.451.445;1.129.116.853
Egypt;1995;94.497.298;2.752.572.715;1.274.122.327
Egypt;1996;99.393.022;2.964.323.641;1.268.769.246
Egypt;1997;106.578.516;3.245.572.567;1.196.241.166
Egypt;1998;112.132.184;3.402.372.494;1.232.349.085
Egypt;1999;118.046.354;374.423.042;1.202.658.005
Egypt;2000;115.527.502;3.985.016.346;1.239.915.924
Egypt;2001;12.633.937;4.067.891.734;1.269.439.705
Egypt;2002;133.093.146;4.260.468.122;1.279.851.485
Egypt;2003;136.038.362;436.280.651;1.634.867.266
Egypt;2004;148.316.228;4.483.947.898;1.506.670.046
Egypt;2005;167.297.996;4.577.164.285;1.586.207.827
Egypt;2006;17.765.053;4.692.146.136;1.320.894.198
Egypt;2007;191.718.986;4.815.794.987;1.384.226.569
Egypt;2008;199.164.186;4.910.211.838;169.949.894
Egypt;2009;206.917.972;4.806.744.689;1.438.568.311
Egypt;2010;208.705.274;480.912.354;1.575.967.682
Egypt;2011;213.230.986;4.986.082.634;1.547.695.723
Egypt;2012;219.358.024;5.110.773.728;1.478.297.763
El Salvador;1990;3.970.128;2.946.601.652;1.326.172.685
El Salvador;1991;4.562.518;3.039.109.459;137.255.946
El Salvador;1992;4.807.578;3.114.077.266;1.402.926.236
El Salvador;1993;5.420.708;3.097.315.073;1.387.423.011
El Salvador;1994;5.900.344;322.804.288;1.362.449.786
El Salvador;1995;6.411.954;3.098.850.687;1.286.816.561
El Salvador;1996;5.894.566;3.340.147.439;1.491.837.384
El Salvador;1997;6.774.506;3.229.234.191;1.518.288.207
El Salvador;1998;712.978;3.116.550.943;1.370.629.031
El Salvador;1999;708.476;3.253.927.695;1.438.549.854
El Salvador;2000;709.638;3.174.794.447;1.359.680.677
El Salvador;2001;757.553;3.391.110.618;1.441.888.717
El Salvador;2002;766.083;3.510.306.789;1.410.366.758
El Salvador;2003;8.065.826;344.377.296;1.413.124.799
El Salvador;2004;8.025.558;3.462.939.132;150.694.284
El Salvador;2005;8.281.626;3.475.235.303;1.657.220.881
El Salvador;2006;8.510.992;3.569.333.313;1.606.292.073
El Salvador;2007;8.920.548;3.656.511.323;1.716.203.265
El Salvador;2008;8.173.768;3.708.509.333;1.802.704.458
El Salvador;2009;812.302;3.641.177.343;170.604.565
El Salvador;2010;7.798.912;3.528.545.353;1.718.976.843
El Salvador;2011;7.982.142;3.287.522.041;1.679.272.982
El Salvador;2012;750.813;3.437.708.729;1.691.759.122
Equatorial Guinea;1990;5.493.772;0.083009212;0.011189443
Equatorial Guinea;1991;556.818;0.12279172;0.011399761
Equatorial Guinea;1992;5.582.696;0.162574228;0.011610079
Equatorial Guinea;1993;6.397.422;0.202356736;0.011820397
Equatorial Guinea;1994;63.313;0.242139245;0.012010715
Equatorial Guinea;1995;6.426.424;0.281911753;0.012211033
Equatorial Guinea;1996;6.903.188;150.355.628;0.012496524
Equatorial Guinea;1997;711.533;2.725.200.807;0.012782016
Equatorial Guinea;1998;7.027.024;3.946.845.335;0.013087507
Equatorial Guinea;1999;7.417.902;5.168.499.862;0.013402998
Equatorial Guinea;2000;7.494.016;6.389.934.389;0.013618489
Equatorial Guinea;2001;7.812.418;803.248.385;0.01387771
Equatorial Guinea;2002;8.331.782;967.499.331;0.01403693
Equatorial Guinea;2003;10.289.236;1.131.750.277;0.014196151
Equatorial Guinea;2004;11.075.564;1.296.003.223;0.014395371
Equatorial Guinea;2005;10.280.498;1.460.255.169;0.014594592
Equatorial Guinea;2006;10.736.618;1.467.669.462;0.014796615
Equatorial Guinea;2007;10.548.646;1.475.084.754;0.015028638
Equatorial Guinea;2008;10.209.524;1.482.665.047;0.01599066
Equatorial Guinea;2009;10.779.858;148.991.234;0.015462683
Equatorial Guinea;2010;10.567.032;1.497.337.633;0.015774706
Equatorial Guinea;2011;11.050.406;1.510.708.461;0.016551846
Equatorial Guinea;2012;1.090.787;1.523.851.289;0.016368985
Eritrea;1990;;;
Eritrea;1991;;;
Eritrea;1992;;;
Eritrea;1993;0.63008;2.140.047.466;3.016.796.095
Eritrea;1994;1.333.024;2.201.007.222;2.975.330.134
Eritrea;1995;1.398.668;2.261.556.977;2.995.194.173
Eritrea;1996;1.476.994;2.484.677.615;3.036.083.198
Eritrea;1997;1.436.292;2.756.918.254;3.101.222.222
Eritrea;1998;1.220.944;2.892.428.892;3.086.911.247
Eritrea;1999;1.262.914;295.166.953;2.996.460.271
Eritrea;2000;1.244.894;3.030.190.169;2.917.559.295
Eritrea;2001;1.285.874;2.950.271.631;2.829.427.506
Eritrea;2002;1.277.504;2.924.973.093;2.753.805.717
Eritrea;2003;1.279.474;3.012.184.555;2.771.573.928
Eritrea;2004;1.281.294;3.042.736.016;2.743.882.138
Eritrea;2005;1.203.224;3.088.337.478;2.762.840.349
Eritrea;2006;1.011.584;3.103.277.585;2.703.064.165
Eritrea;2007;1.004.534;3.214.447.691;2.736.887.981
Eritrea;2008;0.936734;3.238.397.797;2.661.651.797
Eritrea;2009;0.959314;3.239.287.903;2.589.815.612
Eritrea;2010;1.001.894;3.269.258.009;2.539.019.428
Eritrea;2011;1.034.524;3.312.450.961;2.574.307.187
Eritrea;2012;104.507;3.343.103.912;2.590.774.946
Estonia;1990;;;
Estonia;1991;;;
Estonia;1992;29.624.978;3.015.190.845;2.428.416.922
Estonia;1993;25.082.272;2.721.266.335;2.300.531.803
Estonia;1994;2.478.497;2.349.291.825;2.168.436.685
Estonia;1995;23.262.628;2.149.367.314;2.093.481.566
Estonia;1996;24.271.772;2.074.323.319;2.067.061.432
Estonia;1997;23.945.782;2.051.049.324;2.078.541.298
Estonia;1998;23.424.816;2.056.335.329;2.109.061.164
Estonia;1999;22.413.306;2.051.891.334;206.815.103
Estonia;2000;2.220.729;2.014.927.339;2.094.790.896
Estonia;2001;2.184.846;2.004.616.591;2.050.572.373
Estonia;2002;21.444.122;2.035.215.843;202.969.385
Estonia;2003;23.384.666;2.010.265.095;2.054.525.327
Estonia;2004;23.591.186;2.024.784.347;2.063.536.805
Estonia;2005;23.807.736;20.255.136;2.033.408.282
Estonia;2006;2.343.508;2.032.254.799;2.047.552.064
Estonia;2007;27.180.958;2.004.645.999;2.073.375.846
Estonia;2008;2.560.615;2.004.397.199;2.145.919.629
Estonia;2009;22.287.026;1.982.738.399;2.090.163.411
Estonia;2010;26.124.854;1.976.249.599;2.086.237.193
Estonia;2011;25.145.944;1.964.037.335;2.105.674.665
Estonia;2012;25.723;195.420.507;2.145.332.136
Ethiopia;1990;;;
Ethiopia;1991;;;
Ethiopia;1992;;;
Ethiopia;1993;15.206.592;3.678.949.955;2.404.571.953
Ethiopia;1994;28.465.982;3.735.473.764;2.443.373.347
Ethiopia;1995;28.728.532;3.753.825.573;2.462.466.741
Ethiopia;1996;28.986.716;3.902.919.582;2.575.025.772
Ethiopia;1997;28.921.778;4.146.016.591;2.678.859.802
Ethiopia;1998;29.331.168;44.662.426;2.911.255.832
Ethiopia;1999;29.166.298;4.545.179.609;2.932.131.862
Ethiopia;2000;2.915.845;4.355.514.619;2.783.779.892
Ethiopia;2001;30.876.508;4.374.145.821;281.974.537
Ethiopia;2002;31.154.428;4.875.893.024;3.233.778.848
Ethiopia;2003;31.966.816;4.801.042.227;3.114.959.327
Ethiopia;2004;32.313.586;4.865.792.429;3.204.602.805
Ethiopia;2005;31.560.462;5.059.252.632;3.381.748.283
Ethiopia;2006;3.165.811;5.299.927.327;3.513.085.893
Ethiopia;2007;31.835.424;5.782.323.021;3.886.985.503
Ethiopia;2008;32.513.076;6.007.357.716;3.999.066.114
Ethiopia;2009;32.632.184;6.231.396.411;4.175.826.724
Ethiopia;2010;32.807.506;6.487.529.106;4.369.966.335
Ethiopia;2011;34.143.856;6.393.961.083;4.301.936.624
Ethiopia;2012;3.339.968;659.132.306;4.452.487.914
European Union (15);1990;310.461.089;4.742.586.358;3.129.224.744
European Union (15);1991;3.051.269.734;4.635.687.443;3.088.667.144
European Union (15);1992;2.985.685.992;4.519.522.528;2.998.668.444
European Union (15);1993;2.927.314.668;4.424.329.313;2.984.008.545
European Union (15);1994;2.936.316.132;4.364.129.198;3.000.162.345
European Union (15);1995;2.966.849.186;4.301.725.084;2.986.192.845
European Union (15);1996;3.055.577.674;4.220.415.682;2.949.065.826
European Union (15);1997;2.998.391.246;414.248.908;2.846.930.507
European Union (15);1998;3.050.396.128;4.043.049.878;2.770.553.888
European Union (15);1999;3.029.691.578;3.959.189.876;2.682.970.868
European Union (15);2000;3.054.047;396.094.989;2.631.923.159
European Union (15);2001;3.083.044.906;3.842.168.731;2.573.505.623
European Union (15);2002;3.072.614.424;3.746.473.372;2.559.466.586
European Union (15);2003;3.149.627.848;3.643.269.613;253.451.585
European Union (15);2004;3.151.200.988;3.553.513.654;2.490.761.313
European Union (15);2005;313.081.858;3.465.446.095;2.416.976.477
European Union (15);2006;3.205.179.802;3.407.546.197;2.359.354.579
European Union (15);2007;3.148.430.506;3.371.725.399;2.348.860.181
European Union (15);2008;3.065.539.004;3.335.112.702;2.272.917.684
European Union (15);2009;2.808.895.896;3.293.700.804;2.204.426.486
European Union (15);2010;2.890.177.694;3.253.092.706;2.198.874.288
European Union (15);2011;2.759.613.494;3.222.326.252;2.149.241.065
European Union (15);2012;274.713.383;3.220.759.798;2.143.742.142
European Union (28);1990;4.091.023.432;5.939.642.269;3.748.603.311
European Union (28);1991;3.947.372.818;5.784.903.648;3.650.946.957
European Union (28);1992;3.828.466.212;5.802.815.958;3.648.386.876
European Union (28);1993;3.709.319.128;5.843.742.979;3.698.694.429
European Union (28);1994;367.235.922;5.730.755.501;3.694.546.545
European Union (28);1995;371.002.848;5.622.339.022;3.656.820.961
European Union (28);1996;3.824.876.868;5.516.183.552;3.629.860.279
European Union (28);1997;3.741.976.844;5.415.569.982;3.538.069.097
European Union (28);1998;374.714.193;5.282.499.512;3.442.651.415
European Union (28);1999;3.685.898.662;5.168.038.142;3.343.044.733
European Union (28);2000;3.702.381.284;5.135.885.587;3.294.738.861
European Union (28);2001;3.728.511.326;4.998.098.363;3.251.218.064
European Union (28);2002;369.941.977;489.191.454;3.222.187.268
European Union (28);2003;3.808.899.636;4.789.561.516;3.208.272.871
European Union (28);2004;3.810.043.334;4.692.897.092;3.185.225.775
European Union (28);2005;3.789.954.502;4.600.051.168;3.106.412.078
European Union (28);2006;386.515.954;4.535.056.396;3.035.917.836
European Union (28);2007;3.817.032.502;4.494.382.025;3.021.021.695
European Union (28);2008;3.717.344.736;4.440.418.754;2.943.019.753
European Union (28);2009;3.398.657.474;4.379.101.783;2.841.512.511
European Union (28);2010;3.507.081.008;4.324.669.311;282.861.407
European Union (28);2011;3.376.764.138;4.279.637.055;2.791.123.275
European Union (28);2012;3.333.263.484;4.274.725.498;280.072.858
Fiji;1990;1.207.058;0.577947122;0.348442141
Fiji;1991;0.319506;0.593469057;0.34235907
Fiji;1992;0.365538;0.602530993;0.339985998
Fiji;1993;0.408242;0.642072928;0.365112927
Fiji;1994;0.461602;0.667464864;0.381949856
Fiji;1995;0.511644;0.694466799;0.404506784
Fiji;1996;0.541356;0.68941149;0.401712798
